3 4151
0.430044 0.190683 2.841131
0.414023 0.201155 2.786601
0.400180 0.212435 2.733321
0.388417 0.224466 2.681293
0.378636 0.237209 2.630522
0.370746 0.250642 2.581012
0.364662 0.264760 2.532768
0.358749 0.287245 2.462796
0.356488 0.311373 2.395736
0.357684 0.337276 2.331651
0.362183 0.365130 2.270625
0.369876 0.395146 2.212772
0.380694 0.427568 2.158237
0.394608 0.462665 2.107205
0.411629 0.500728 2.059905
0.431805 0.542064 2.016619
0.455220 0.586990 1.977691
0.481986 0.635825 1.943539
0.512245 0.688883 1.914662
0.546163 0.746456 1.891657
0.583920 0.808800 1.875232
0.611317 0.853112 1.868341
0.640562 0.899668 1.865017
0.671708 0.948483 1.865565
0.704804 0.999540 1.870320
0.739894 1.052791 1.879641
0.777012 1.108141 1.893917
0.816178 1.165446 1.913561
0.857396 1.224501 1.939005
0.900650 1.285031 1.970698
0.945896 1.346677 2.009094
0.993059 1.408992 2.054642
1.042025 1.471422 2.107772
1.092639 1.533303 2.168876
1.118500 1.563799 2.202525
1.144691 1.593856 2.238284
1.171177 1.623355 2.276182
1.197917 1.652174 2.316238
1.224871 1.680181 2.358463
1.251989 1.707236 2.402861
1.279220 1.733194 2.449421
1.306508 1.757904 2.498124
1.333791 1.781210 2.548937
1.361004 1.802949 2.601810
1.388076 1.822956 2.656683
1.414932 1.841067 2.713477
1.441494 1.857111 2.772095
1.467676 1.870924 2.832425
1.493392 1.882341 2.894334
1.518549 1.891203 2.957672
1.543053 1.897356 3.022270
1.566807 1.900656 3.087940
1.589709 1.900971 3.154474
1.611658 1.898180 3.221648
1.632551 1.892180 3.289221
1.652285 1.882884 3.356935
1.670759 1.870227 3.424522
1.687870 1.854163 3.491698
1.703522 1.834674 3.558175
1.717619 1.811764 3.623653
1.730071 1.785465 3.687835
1.740793 1.755837 3.750419
1.749708 1.722966 3.811109
1.756744 1.686967 3.869615
1.761841 1.647982 3.925660
1.764944 1.606179 3.978978
1.766012 1.561750 4.029323
1.765013 1.514911 4.076468
1.761925 1.465898 4.120210
1.756740 1.414962 4.160373
1.749460 1.362372 4.196809
1.740102 1.308404 4.229398
1.728690 1.253344 4.258051
1.715265 1.197482 4.282712
1.699875 1.141106 4.303355
1.682581 1.084502 4.319982
1.663454 1.027949 4.332629
1.642575 0.971715 4.341357
1.620032 0.916058 4.346251
1.595921 0.861216 4.347424
1.570344 0.807415 4.345007
1.543411 0.754858 4.339150
1.515234 0.703729 4.330018
1.485928 0.654191 4.317789
1.455611 0.606385 4.302650
1.424404 0.560429 4.284796
1.392425 0.516421 4.264425
1.359792 0.474438 4.241735
1.326622 0.434537 4.216927
1.293031 0.396754 4.190197
1.259128 0.361110 4.161735
1.225020 0.327607 4.131728
1.190812 0.296234 4.100353
1.156600 0.266966 4.067781
1.122478 0.239766 4.034171
1.088532 0.214587 3.999675
1.054844 0.191372 3.964433
1.021490 0.170059 3.928574
0.988540 0.150578 3.892220
0.956056 0.132854 3.855480
0.924098 0.116811 3.818453
0.892718 0.102368 3.781230
0.861961 0.089444 3.743893
0.802479 0.067822 3.669156
0.745918 0.051294 3.594727
0.692469 0.039230 3.520980
0.642255 0.031035 3.448192
0.595338 0.026157 3.376565
0.551732 0.024099 3.306235
0.511407 0.024411 3.237290
0.474300 0.026700 3.169783
0.440319 0.030623 3.103735
0.409352 0.035884 3.039149
0.381274 0.042235 2.976014
0.355947 0.049465 2.914308
0.333229 0.057406 2.854004
0.312974 0.065918 2.795072
0.295038 0.074894 2.737482
0.279279 0.084253 2.681203
